Calories,Calories from Fat,Total Fat,Total Fat (% Daily Value),Saturated Fat,Saturated Fat (% Daily Value),Cholesterol,Cholesterol (% Daily Value),Sodium,Sodium (% Daily Value),Carbohydrates,Carbohydrates (% Daily Value),Dietary Fiber,Dietary Fiber (% Daily Value),Sugars,Protein
310,30,3.5,5,2,11,15,5,210,9,56,19,1,4,51,13
370,35,3.5,6,2.5,11,20,6,270,11,67,22,1,5,61,17
360,120,13,21,8,39,40,14,180,8,50,17,1,3,45,11
440,140,16,25,9,47,50,16,220,9,61,20,1,4,56,14
540,180,20,31,12,58,60,20,280,12,73,24,1,5,68,17
280,30,3.5,5,2,11,15,5,180,7,50,17,1,3,46,12
340,30,3.5,5,2,11,15,6,220,9,61,20,1,4,57,14
400,35,3.5,6,2.5,12,20,7,280,12,74,25,1,5,69,19
290,100,11,17,7,33,35,12,125,5,41,14,1,4,34,8
350,110,13,19,8,38,40,13,150,6,50,17,1,5,43,9
480,150,16,25,10,49,50,17,220,9,70,23,2,8,62,14
240,45,5,8,3,16,20,7,125,5,41,14,1,4,35,8
290,45,5,8,3.5,17,20,7,150,6,50,17,1,5,43,10
390,50,6,9,3.5,18,25,8,220,9,71,24,2,8,62,14
340,110,13,19,7,37,40,13,170,7,46,15,1,2,41,9
460,150,16,25,10,48,50,17,250,10,65,22,1,3,59,13
270,45,5,8,3,16,20,7,170,7,47,16,1,2,41,10
370,50,6,8,3.5,17,25,8,250,10,65,22,1,3,59,14
450,160,18,28,12,59,65,21,125,5,65,22,1,3,57,7
550,200,22,34,14,71,75,25,160,7,80,27,1,4,71,9
670,240,26,41,17,85,90,30,190,8,98,33,1,4,88,11
530,200,23,35,14,72,65,22,135,6,76,25,1,5,67,8
630,240,26,41,17,85,80,26,160,7,91,30,1,5,81,9
760,280,31,48,20,101,95,32,200,8,111,37,1,5,99,12
330,10,1,2,0.5,3,5,2,80,3,74,25,4,16,70,5
340,10,1,2,0.5,3,5,2,60,3,78,26,2,6,72,4
650,210,23,35,14,72,50,17,180,7,96,32,1,6,89,13
930,290,33,50,20,102,75,25,260,11,139,46,2,7,128,20
430,140,15,24,10,48,35,11,120,5,64,21,1,4,59,9
510,150,17,26,9,44,45,14,280,12,80,27,1,4,64,12
690,200,23,35,12,58,55,19,380,16,106,35,1,5,85,15
340,100,11,17,6,29,30,9,190,8,53,18,1,2,43,8
810,290,32,50,15,76,60,20,400,17,114,38,2,9,103,21
410,150,16,25,8,38,30,10,200,8,57,19,1,5,51,10
